URL,Кластер,Тип страницы,Основной запрос,Интент,Рекомендуемый объём,Рекомендуемые H2,Блоки на странице,Важные CTA,Schema.org,Внутренние ссылки (ядро),Приоритет
https://your-domain.ru/klining-moskva,Главная/Общее: клининг Москва,Лендинг (главная услуга),клининг москва,Транзакционный (заказ услуги),1200–1800 слов,Цены и что входит в услугу | Как проходит уборка: шаги и сроки | Оборудование и химия: безопасность | Почему выбирают нас (5–7 преимуществ) | Гарантии и контроль качества | Фото до/после (галерея) | Отзывы клиентов | Частые вопросы (FAQ) | Контакты и CTA «Заказать уборку»,Герой + быстрый калькулятор + три тарифа + преимущества + процесс + кейсы/фото + отзывы + FAQ + CTA,Рассчитать стоимость; Заказать уборку; Получить КП (для B2B),"BreadcrumbList, FAQPage, ImageObject, LocalBusiness, Organization, Service","/klining-moskva, /czena-uborki, /posle-remonta, /myte-okon, /uborka-kvartiry, /kontakt",Высокий
https://your-domain.ru/kliningovaya-kompaniya-moskva,Главная/Общее: клининг Москва,Лендинг (главная услуга),клининговая компания москва,Транзакционный (заказ услуги),1200–1800 слов,Цены и что входит в услугу | Как проходит уборка: шаги и сроки | Оборудование и химия: безопасность | Почему выбирают нас (5–7 преимуществ) | Гарантии и контроль качества | Фото до/после (галерея) | Отзывы клиентов | Частые вопросы (FAQ) | Контакты и CTA «Заказать уборку»,Герой + быстрый калькулятор + три тарифа + преимущества + процесс + кейсы/фото + отзывы + FAQ + CTA,Рассчитать стоимость; Заказать уборку; Получить КП (для B2B),"BreadcrumbList, FAQPage, ImageObject, LocalBusiness, Organization, Service","/klining-moskva, /czena-uborki, /posle-remonta, /myte-okon, /uborka-kvartiry, /kontakt",Высокий
https://your-domain.ru/kliningovye-uslugi-moskva,Главная/Общее: клининг Москва,Лендинг (главная услуга),клининговые услуги москва,Транзакционный (заказ услуги),1200–1800 слов,Цены и что входит в услугу | Как проходит уборка: шаги и сроки | Оборудование и химия: безопасность | Почему выбирают нас (5–7 преимуществ) | Гарантии и контроль качества | Фото до/после (галерея) | Отзывы клиентов | Частые вопросы (FAQ) | Контакты и CTA «Заказать уборку»,Герой + быстрый калькулятор + три тарифа + преимущества + процесс + кейсы/фото + отзывы + FAQ + CTA,Рассчитать стоимость; Заказать уборку; Получить КП (для B2B),"BreadcrumbList, FAQPage, ImageObject, LocalBusiness, Organization, Service","/klining-moskva, /czena-uborki, /posle-remonta, /myte-okon, /uborka-kvartiry, /kontakt",Высокий
https://your-domain.ru/poslestroitelnyy-klining-moskva,Главная/Общее: клининг Москва,Лендинг (главная услуга),послестроительный клининг москва,Транзакционный (заказ услуги),1200–1800 слов,Цены и что входит в услугу | Этапы послестроительной уборки | Как проходит уборка: шаги и сроки | Оборудование и химия: безопасность | Почему выбирают нас (5–7 преимуществ) | Гарантии и контроль качества | Фото до/после (галерея) | Отзывы клиентов | Частые вопросы (FAQ) | Контакты и CTA «Заказать уборку»,Герой + быстрый калькулятор + три тарифа + преимущества + процесс + кейсы/фото + отзывы + FAQ + CTA,Рассчитать стоимость; Заказать уборку; Получить КП (для B2B),"BreadcrumbList, FAQPage, ImageObject, LocalBusiness, Organization, Service","/klining-moskva, /czena-uborki, /posle-remonta, /myte-okon, /uborka-kvartiry, /kontakt",Высокий
https://your-domain.ru/vysotnyy-klining-moskva,Главная/Общее: клининг Москва,Лендинг (главная услуга),высотный клининг москва,Транзакционный (заказ услуги),1200–1800 слов,Цены и что входит в услугу | Техника безопасности и допуски | Методики мойки и доступ к фасадам | Как проходит уборка: шаги и сроки | Оборудование и химия: безопасность | Почему выбирают нас (5–7 преимуществ) | Гарантии и контроль качества | Фото до/после (галерея) | Отзывы клиентов | Частые вопросы (FAQ) | Контакты и CTA «Заказать уборку»,Герой + быстрый калькулятор + три тарифа + преимущества + процесс + кейсы/фото + отзывы + FAQ + CTA,Рассчитать стоимость; Заказать уборку; Получить КП (для B2B),"BreadcrumbList, FAQPage, ImageObject, LocalBusiness, Organization, Service","/klining-moskva, /czena-uborki, /posle-remonta, /myte-okon, /uborka-kvartiry, /kontakt",Высокий
https://your-domain.ru/klining-prays-moskva,Главная/Общее: клининг Москва,Лендинг (главная услуга),клининг прайс москва,Транзакционный (заказ услуги),1200–1800 слов,Цены и что входит в услугу | Как проходит уборка: шаги и сроки | Оборудование и химия: безопасность | Почему выбирают нас (5–7 преимуществ) | Гарантии и контроль качества | Фото до/после (галерея) | Отзывы клиентов | Частые вопросы (FAQ) | Контакты и CTA «Заказать уборку»,Герой + быстрый калькулятор + три тарифа + преимущества + процесс + кейсы/фото + отзывы + FAQ + CTA,Рассчитать стоимость; Заказать уборку; Получить КП (для B2B),"BreadcrumbList, FAQPage, ImageObject, LocalBusiness, Organization, Service","/klining-moskva, /czena-uborki, /posle-remonta, /myte-okon, /uborka-kvartiry, /kontakt",Высокий
https://your-domain.ru/kliningovaya-kompaniya-moskva-centr,Главная/Общее: клининг Москва,Лендинг (главная услуга),клининговая компания москва центр,Транзакционный (заказ услуги),1200–1800 слов,Цены и что входит в услугу | Как проходит уборка: шаги и сроки | Оборудование и химия: безопасность | Почему выбирают нас (5–7 преимуществ) | Гарантии и контроль качества | Фото до/после (галерея) | Отзывы клиентов | Частые вопросы (FAQ) | Контакты и CTA «Заказать уборку»,Герой + быстрый калькулятор + три тарифа + преимущества + процесс + кейсы/фото + отзывы + FAQ + CTA,Рассчитать стоимость; Заказать уборку; Получить КП (для B2B),"BreadcrumbList, FAQPage, ImageObject, LocalBusiness, Organization, Service","/klining-moskva, /czena-uborki, /posle-remonta, /myte-okon, /uborka-kvartiry, /kontakt",Высокий
https://your-domain.ru/klining-moskva-cao,Главная/Общее: клининг Москва,Лендинг (главная услуга),клининг москва ЦАО,Транзакционный (заказ услуги),1200–1800 слов,Цены и что входит в услугу | Как проходит уборка: шаги и сроки | Оборудование и химия: безопасность | Почему выбирают нас (5–7 преимуществ) | Гарантии и контроль качества | Фото до/после (галерея) | Отзывы клиентов | Частые вопросы (FAQ) | Контакты и CTA «Заказать уборку»,Герой + быстрый калькулятор + три тарифа + преимущества + процесс + кейсы/фото + отзывы + FAQ + CTA,Рассчитать стоимость; Заказать уборку; Получить КП (для B2B),"BreadcrumbList, FAQPage, ImageObject, LocalBusiness, Organization, Service","/klining-moskva, /czena-uborki, /posle-remonta, /myte-okon, /uborka-kvartiry, /kontakt",Высокий
https://your-domain.ru/klining-moskva-sao,Главная/Общее: клининг Москва,Лендинг (главная услуга),клининг москва САО,Транзакционный (заказ услуги),1200–1800 слов,Цены и что входит в услугу | Как проходит уборка: шаги и сроки | Оборудование и химия: безопасность | Почему выбирают нас (5–7 преимуществ) | Гарантии и контроль качества | Фото до/после (галерея) | Отзывы клиентов | Частые вопросы (FAQ) | Контакты и CTA «Заказать уборку»,Герой + быстрый калькулятор + три тарифа + преимущества + процесс + кейсы/фото + отзывы + FAQ + CTA,Рассчитать стоимость; Заказать уборку; Получить КП (для B2B),"BreadcrumbList, FAQPage, ImageObject, LocalBusiness, Organization, Service","/klining-moskva, /czena-uborki, /posle-remonta, /myte-okon, /uborka-kvartiry, /kontakt",Высокий
https://your-domain.ru/klining-moskva-svao,Главная/Общее: клининг Москва,Лендинг (главная услуга),клининг москва СВАО,Транзакционный (заказ услуги),1200–1800 слов,Цены и что входит в услугу | Как проходит уборка: шаги и сроки | Оборудование и химия: безопасность | Почему выбирают нас (5–7 преимуществ) | Гарантии и контроль качества | Фото до/после (галерея) | Отзывы клиентов | Частые вопросы (FAQ) | Контакты и CTA «Заказать уборку»,Герой + быстрый калькулятор + три тарифа + преимущества + процесс + кейсы/фото + отзывы + FAQ + CTA,Рассчитать стоимость; Заказать уборку; Получить КП (для B2B),"BreadcrumbList, FAQPage, ImageObject, LocalBusiness, Organization, Service","/klining-moskva, /czena-uborki, /posle-remonta, /myte-okon, /uborka-kvartiry, /kontakt",Высокий
https://your-domain.ru/klining-moskva-vao,Главная/Общее: клининг Москва,Лендинг (главная услуга),клининг москва ВАО,Транзакционный (заказ услуги),1200–1800 слов,Цены и что входит в услугу | Как проходит уборка: шаги и сроки | Оборудование и химия: безопасность | Почему выбирают нас (5–7 преимуществ) | Гарантии и контроль качества | Фото до/после (галерея) | Отзывы клиентов | Частые вопросы (FAQ) | Контакты и CTA «Заказать уборку»,Герой + быстрый калькулятор + три тарифа + преимущества + процесс + кейсы/фото + отзывы + FAQ + CTA,Рассчитать стоимость; Заказать уборку; Получить КП (для B2B),"BreadcrumbList, FAQPage, ImageObject, LocalBusiness, Organization, Service","/klining-moskva, /czena-uborki, /posle-remonta, /myte-okon, /uborka-kvartiry, /kontakt",Высокий
